,quote
0,“Be yourself; everyone else is already taken.”
1,"“I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.”"
2,“Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.”
3,"“So many books, so little time.”"
4,“A room without books is like a body without a soul.”
5,"“Be who you are and say what you feel, because those who mind don't matter, and those who matter don't mind.”"
6,"“You've gotta dance like there's nobody watching,Love like you'll never be hurt,Sing like there's nobody listening,And live like it's heaven on earth.”"
7,“You know you're in love when you can't fall asleep because reality is finally better than your dreams.”
8,"“You only live once, but if you do it right, once is enough.”"
9,“Be the change that you wish to see in the world.”
10,“In three words I can sum up everything I've learned about life: it goes on.”
11,"“If you want to know what a man's like, take a good look at how he treats his inferiors, not his equals.”"
12,“Donâ€™t walk in front of meâ€¦ I may not followDonâ€™t walk behind meâ€¦ I may not leadWalk beside meâ€¦ just be my friend”
13,"“If you tell the truth, you don't have to remember anything.”"
14,"“Friendship ... is born at the moment when one man says to another ""What! You too? I thought that no one but myself . . .”"
15,“A friend is someone who knows all about you and still loves you.”
16,“Always forgive your enemies; nothing annoys them so much.”
17,"“To live is the rarest thing in the world. Most people exist, that is all.”"
18,“Live as if you were to die tomorrow. Learn as if you were to live forever.”
19,“Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.”
20,"“Without music, life would be a mistake.”"
21,“We accept the love we think we deserve.”
22,“I am so clever that sometimes I don't understand a single word of what I am saying.”
23,“To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.”
24,"“Here's to the crazy ones. The misfits. The rebels. The troublemakers. The round pegs in the square holes. The ones who see things differently. They're not fond of rules. And they have no respect for the status quo. You can quote them, disagree with them, glorify or vilify them. About the only thing you can't do is ignore them. Because they change things. They push the human race forward. And while some may see them as the crazy ones, we see genius. Because the people who are crazy enough to think they can change the world, are the ones who do.”"
25,"“Insanity is doing the same thing, over and over again, but expecting different results.”"
26,"“I believe that everything happens for a reason. People change so that you can learn to let go, things go wrong so that you appreciate them when they're right, you believe lies so you eventually learn to trust no one but yourself, and sometimes good things fall apart so better things can fall together.”"
27,“Twenty years from now you will be more disappointed by the things that you didn't do than by the ones you did do. So throw off the bowlines. Sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover.”
28,“It is better to be hated for what you are than to be loved for what you are not.”
